id_produto,nome,descricao,valor_padrao,categoria,ativo
PROD-0001,"Mesoterapia e PRP,,,Outras,,,,,,,,,3202391,true",,0.00,outro,sim
PROD-0002,"Consulta,,,Outras,,,,,,,,,3202391,true",,0.00,outro,sim
PROD-0003,"Transplante de Sobrancelha,,,Outras,,,,,,,,,3202391,true",,0.00,outro,sim
PROD-0004,"TRANSPLANTE CAPILAR,,,Outras,,,,,,,,,3202391,true",,0.00,outro,sim
PROD-0005,"Azul de Metileno,,1004,MEDICAÃ‡ÃƒO,0.000000,,R$ 33.95,,,,,,3202391,true",,0.00,outro,sim
PROD-0006,"Midazolam 15mg,,1017,MEDICAÃ‡ÃƒO,0.000000,,R$ 60.49,,,,,,3202391,true",,0.00,outro,sim
PROD-0007,"Dipirona 1ml,,1026,MEDICAÃ‡ÃƒO,0.000000,,R$ 0.60,,,,,,3202391,true",,0.00,outro,sim
PROD-0008,"Agulha 13x0,30,,1032,INSUMOS,0.000000,,R$ 0.24,,,,,,3202391,true",,0.00,outro,sim
PROD-0009,"Saco de Lixo Infectante 100L,,1075,INSUMOS,0.000000,,R$ 0.79,,,,,,3202391,true",,0.00,outro,sim
PROD-0010,"Avental Descartavel,,1037,INSUMOS,0.000000,,R$ 2.90,,,,,,3202391,true",,0.00,outro,sim
PROD-0011,"Micropore Grande,,1070,INSUMOS,0.000000,,R$ 8.29,,,,,,3202391,true",,0.00,outro,sim
PROD-0012,"Seringa 20ml,,1077,INSUMOS,0.000000,,R$ 0.54,,,,,,3202391,true",,0.00,outro,sim
PROD-0013,"Tubo Coleta Soro (vermelho),,1087,INSUMOS,0.000000,,R$ 1.03,,,,,,3202391,true",,0.00,outro,sim
PROD-0014,"Dorflex,,1010,MEDICAÃ‡ÃƒO,0.000000,,R$ 1.59,,,,,,3202391,true",,0.00,outro,sim
PROD-0015,"Ropi 7.5mg/ml - 20ml,,1022,MEDICAÃ‡ÃƒO,0.000000,,R$ 39.90,,,,,,3202391,true",,0.00,outro,sim
PROD-0016,"Pano para Limpar a Maca,,1072,INSUMOS,0.000000,,R$ 0.13,,,,,,3202391,true",,0.00,outro,sim
PROD-0017,"PropÃ©,,1074,INSUMOS,0.000000,,R$ 0.09,,,,,,3202391,true",,0.00,outro,sim
PROD-0018,"Removedor,,1102,LIMPEZA,0.000000,,R$ 13.75,,,,,,3202391,true",,0.00,outro,sim
